entity_name,entity_type,region,event_count,total_penalty_amount,avg_risk_score,risk_level
派瑞股份,上市公司,未知,3,187.5,63.03333333333333,高
唯特偶,上市公司,深圳,3,187.5,61.20000000000001,高
望奎双汇,上市公司,黑龙江,1,62.5,57.8,中
泰坦股份,上市公司,未知,1,62.5,57.8,中
怡亚通,上市公司,广东,1,62.5,57.8,中
康春叶,其他,未知,1,62.5,57.8,中
郑盛,其他,未知,1,62.5,57.8,中
韩国KOSDAQ指数,其他,未知,1,62.5,57.8,中
财通福鑫LOF,基金,未知,1,62.5,57.0,中
私募投资基金行业,基金,未知,1,62.5,57.0,中
惠丰钻石,上市公司,未知,1,62.5,55.8,中
镇海股份,上市公司,未知,1,62.5,55.5,中
中交地产,上市公司,北京,2,125.0,49.35,中
韩建河山,上市公司,未知,2,125.0,46.4,中
华特气体,上市公司,未知,1,62.5,44.8,中
上海证券交易所,其他,上海,1,62.5,44.8,中
博通,上市公司,未知,1,62.5,44.8,中
恒星科技,上市公司,未知,1,62.5,44.8,中
宏达电子,上市公司,未知,1,62.5,44.8,中
大族激光,上市公司,未知,1,62.5,44.8,中
莱伯泰科,上市公司,未知,1,62.5,44.8,中
上海奉天电子股份有限公司,上市公司,上海,1,62.5,44.0,中
三大交易所,证券,未知,1,62.5,44.0,中
ST晨鸣,上市公司,山东,1,62.5,44.0,中
国际航空运输协会,其他,未知,1,62.5,44.0,中
蓝科高新,上市公司,未知,1,62.5,44.0,中
沪硅产业,上市公司,未知,1,62.5,44.0,中
鑫科材料,上市公司,未知,2,125.0,44.0,中
交易所,其他,未知,1,62.5,44.0,中
德宏股份,上市公司,未知,1,62.5,44.0,中
拓山重工,上市公司,未知,1,62.5,44.0,中
东山精密,上市公司,未知,1,62.5,42.5,中
江海股份,上市公司,未知,1,62.5,42.5,中
精达股份,上市公司,未知,2,125.0,42.5,中
深交所,证券,广东,1,62.5,42.5,中
菲林格尔,上市公司,未知,1,62.5,42.5,中
康隆达,上市公司,未知,1,62.5,42.5,中
初灵信息,上市公司,未知,1,62.5,42.5,中
呈和科技,上市公司,未知,1,62.5,42.5,中
伯特利,上市公司,未知,1,62.5,42.5,中
佳华科技,上市公司,未知,1,62.5,42.5,中
三博脑科,上市公司,未知,1,62.5,42.5,中
爱施德,上市公司,未知,1,62.5,42.5,中
华源控股,上市公司,未知,2,125.0,42.15,中
瑞联新材,上市公司,未知,1,62.5,41.8,中
万通发展,上市公司,未知,1,62.5,39.5,中
中际旭创,上市公司,未知,4,250.0,37.45,中
华泰证券,证券,未知,4,250.0,37.05,中
中国证监会,其他,北京,3,187.5,36.666666666666664,中
中信建投,证券,未知,3,187.5,36.666666666666664,中
天洋新材,上市公司,未知,3,187.5,36.6,中
ST人福,上市公司,未知,1,62.5,35.0,中
*ST太和,上市公司,未知,1,62.5,35.0,中
东方财富证券,证券,未知,1,62.5,35.0,中
上交所,其他,上海,2,125.0,35.0,中
中信建投证券,证券,北京,1,62.5,35.0,中
*ST中迪,上市公司,未知,1,62.5,35.0,中
证监会,其他,北京,1,62.5,35.0,中
沪电股份,上市公司,未知,1,62.5,35.0,中
韩国KOSDAQ市场,其他,未知,1,62.5,35.0,中
迈赫股份,上市公司,未知,1,62.5,35.0,中
中远海控,上市公司,未知,1,62.5,35.0,中
中证协,其他,未知,1,62.5,35.0,中
中策橡胶,上市公司,未知,1,62.5,35.0,中
日联科技,上市公司,未知,1,62.5,35.0,中
悦心健康,上市公司,未知,1,62.5,35.0,中
共达电声,上市公司,浙江,1,62.5,35.0,中
华峰化学,上市公司,浙江,1,62.5,35.0,中
长飞光纤,上市公司,未知,1,62.5,35.0,中
通富微电,上市公司,未知,1,62.5,35.0,中
瑞典北欧斯安银行,银行,未知,1,62.5,35.0,中
寒锐钴业,上市公司,江西,1,62.5,35.0,中
新睿电子,上市公司,未知,1,62.5,35.0,中
京东方A,上市公司,未知,1,62.5,35.0,中
新宙邦,上市公司,未知,1,62.5,35.0,中
易方达基金,基金,未知,1,62.5,35.0,中
五洋自控,上市公司,未知,2,125.0,35.0,中
私募基金行业,基金,未知,1,62.5,35.0,中
艾德生物,上市公司,未知,1,62.5,35.0,中
淳中科技,上市公司,未知,1,62.5,35.0,中
鼎通科技,上市公司,未知,2,125.0,34.5,中
格力电器,上市公司,广东,2,125.0,34.5,中
中国银河证券,证券,未知,2,125.0,33.4,中
中国证券投资基金业协会,基金,北京,3,187.5,33.333333333333336,中
中信证券,证券,未知,4,250.0,32.5,中
嘉美包装,上市公司,未知,2,125.0,32.25,中
博杰股份,上市公司,未知,2,125.0,30.0,低
中重科技,上市公司,未知,2,125.0,30.0,低
未知,基金,未知,3,187.5,30.0,低
东方财富网,其他,未知,2,125.0,30.0,低
合肥城建,上市公司,未知,1,62.5,29.5,低
日月明,上市公司,未知,1,62.5,29.5,低
郑州银行,银行,河南,1,62.5,29.5,低
德福科技,上市公司,未知,1,62.5,29.5,低
拓新药业,上市公司,未知,1,62.5,29.5,低
云涌科技,上市公司,未知,1,62.5,29.5,低
江波龙,上市公司,未知,2,125.0,29.5,低
东材科技,上市公司,未知,2,125.0,27.25,低
中国证券监督管理委员会,其他,北京,1,62.5,25.0,低
中国人寿,保险,未知,1,62.5,25.0,低
东田微,上市公司,未知,1,62.5,25.0,低
A股上市公司,上市公司,未知,1,62.5,25.0,低
A股三大股指,其他,未知,1,62.5,25.0,低
上海石化,上市公司,上海,1,62.5,25.0,低
中芯国际,上市公司,未知,1,62.5,25.0,低
中核科技,上市公司,未知,1,62.5,25.0,低
招商证券,证券,未知,1,62.5,25.0,低
摩根士丹利,证券,未知,1,62.5,25.0,低
奇瑞汽车,上市公司,未知,1,62.5,25.0,低
山东墨龙,上市公司,未知,2,125.0,25.0,低
广汽集团,上市公司,未知,1,62.5,25.0,低
天准科技,上市公司,未知,1,62.5,25.0,低
凯瑞德,上市公司,未知,1,62.5,25.0,低
久吾高科,上市公司,未知,1,62.5,25.0,低
公募基金,基金,未知,1,62.5,25.0,低
农业银行,银行,未知,1,62.5,25.0,低
九号公司,上市公司,未知,1,62.5,25.0,低
先锋精科,上市公司,未知,1,62.5,25.0,低
亨通光电,上市公司,江苏,1,62.5,25.0,低
开源证券,证券,未知,1,62.5,25.0,低
大悦城,上市公司,未知,1,62.5,25.0,低
北京航天驭星科技股份有限公司,上市公司,北京,1,62.5,25.0,低
北京中科信半导体股份有限公司,上市公司,北京,1,62.5,25.0,低
北京商报,其他,北京,1,62.5,25.0,低
利和兴,上市公司,广东,1,62.5,25.0,低
华大智造,上市公司,未知,1,62.5,25.0,低
博腾股份,上市公司,未知,1,62.5,25.0,低
和顺电气,上市公司,江苏,1,62.5,25.0,低
新华网,上市公司,北京,1,62.5,25.0,低
盛洋科技,上市公司,未知,1,62.5,25.0,低
甘肃上峰材料股份有限公司,上市公司,甘肃,1,62.5,25.0,低
百利天恒,上市公司,未知,1,62.5,25.0,低
瑞银证券,证券,未知,1,62.5,25.0,低
瑞松科技,上市公司,未知,1,62.5,25.0,低
牙博士医疗控股集团股份有限公司,上市公司,江苏,1,62.5,25.0,低
珠海泰诺麦博制药股份有限公司,上市公司,广东,1,62.5,25.0,低
深圳证券交易所,其他,广东,1,62.5,25.0,低
湖北宜化,上市公司,未知,1,62.5,25.0,低
湖南发展,上市公司,湖南,1,62.5,25.0,低
模塑科技,上市公司,未知,1,62.5,25.0,低
江苏有线,上市公司,未知,1,62.5,25.0,低
泰恩康,上市公司,未知,1,62.5,25.0,低
洁美科技,上市公司,未知,1,62.5,25.0,低
海南百迈科医疗科技股份有限公司,上市公司,海南,1,62.5,25.0,低
永鼎股份,上市公司,未知,1,62.5,25.0,低
杭州华大海天科技股份有限公司,上市公司,浙江,1,62.5,25.0,低
欣旺达,上市公司,海南,1,62.5,25.0,低
瑞银集团,证券,未知,1,62.5,25.0,低
聚飞光电,上市公司,未知,1,62.5,25.0,低
禾川科技,上市公司,未知,1,62.5,25.0,低
豫能控股,上市公司,未知,1,62.5,25.0,低
美诺华,上市公司,未知,1,62.5,25.0,低
返利科技,上市公司,未知,1,62.5,25.0,低
软通动力,上市公司,未知,1,62.5,25.0,低
通鼎互联,上市公司,广东,1,62.5,25.0,低
金马游乐,上市公司,未知,1,62.5,25.0,低
重庆再升科技股份有限公司,上市公司,重庆,1,62.5,25.0,低
长鑫科技集团股份有限公司,上市公司,未知,1,62.5,25.0,低
鲁信创投,上市公司,山东,1,62.5,25.0,低
龙芯中科,上市公司,未知,1,62.5,25.0,低
