entity_type,risk_type,event_count,avg_risk_score
上市公司,信息披露风险,14,47.471428571428575
上市公司,其他风险,34,26.176470588235293
上市公司,内部控制风险,3,34.666666666666664
上市公司,合规风险,11,36.07272727272727
上市公司,市场操纵风险,6,49.050000000000004
上市公司,经营风险,39,33.646153846153844
上市公司,舆情风险,36,37.125
保险,舆情风险,1,25.0
其他,其他风险,9,28.88888888888889
其他,合规风险,7,37.68571428571429
其他,市场操纵风险,5,49.67999999999999
其他,经营风险,1,44.0
其他,舆情风险,1,25.0
基金,其他风险,3,28.333333333333332
基金,合规风险,3,44.0
基金,市场操纵风险,1,57.0
基金,经营风险,1,35.0
证券,其他风险,9,27.22222222222222
证券,合规风险,1,44.0
证券,市场操纵风险,2,45.35
证券,流动性风险,1,40.0
证券,经营风险,3,37.266666666666666
证券,舆情风险,6,34.166666666666664
银行,其他风险,3,29.833333333333332
