month,regulation_count,news_count,comment_count,high_risk_count,total_penalty_amount,avg_risk_score
2024-05,5,0,0,0,0.0,60.0
2024-06,7,0,0,0,0.0,60.0
2024-07,1,0,0,0,0.0,60.0
2025-01,2,0,0,2,2681.0933,79.45
2025-02,31,0,0,8,58926.8591,72.85161290322581
2025-03,9,0,0,3,24662.801,74.52222222222223
2025-04,14,0,0,3,22468.5367,76.32857142857142
2025-05,19,0,0,4,94370.68980000001,77.08947368421053
2025-06,12,0,0,3,7924.8349,71.06666666666666
2025-07,22,0,0,2,13571.790799999999,72.51363636363637
2025-08,11,0,0,1,5283.906900000001,72.34545454545454
2025-09,28,0,0,3,48225.3874,67.56428571428572
2025-10,17,0,0,3,27104.4388,73.37647058823529
2025-11,11,0,0,6,8456.7674,76.05454545454546
2025-12,9,0,0,0,6223.1882000000005,68.88888888888889
2026-01,3,0,0,1,56172.80959999999,80.0
2026-02,6,0,0,2,2149.0701,72.03333333333333
2026-03,1,0,2,0,80.0,70.93333333333334
2026-04,10,0,3,1,16329.964,70.81538461538462
2026-05,3,0,362,2,2152.956,62.39013698630137
2026-06,5,200,733,18,1768.0,56.98091684434968
