entity_name,entity_type,region,event_count,total_penalty_amount,avg_risk_score,risk_level
青岛大摩证券投资有限公司,证券公司,山东,1,960.0,80.0,高
苏亚金诚会计师事务所,会计师事务所,江苏,1,1331.85,80.0,高
东方集团股份有限公司,上市公司,未知,1,3750.0,80.0,高
福建省爱迪尔珠宝实业股份有限公司,上市公司,福建,1,800.0,80.0,高
青岛中资中程集团股份有限公司,上市公司,山东,1,3920.0,80.0,高
海南普利制药股份有限公司,上市公司,未知,1,2300.0,80.0,高
大信会计师事务所,会计师事务所,未知,1,841.4151,80.0,高
亚太(集团)会计师事务所,证券,北京,1,870.3773,80.0,高
余韩,个人,未知,1,51089.2271,80.0,高
天衡会计师事务所(特殊普通合伙),会计师事务所,江苏,1,3035.0,80.0,高
天津卓朗信息科技股份有限公司,上市公司,未知,1,1900.0,80.0,高
南京越博动力系统股份有限公司,上市公司,未知,1,900.0,80.0,高
渤海融幸(上海)商贸有限公司,其他,未知,1,2139.5133,80.0,高
信永中和会计师事务所,会计师事务所,未知,1,735.7547,79.8,高
中兴财光华会计师事务所,会计师事务所,北京,1,733.9623,79.8,高
北京中方信富投资管理咨询有限公司,证券公司,北京,1,720.0,79.7,高
大华会计师事务所(特殊普通合伙),会计师事务所,未知,1,619.434,79.3,高
延安必康制药股份有限公司,上市公司,未知,2,3130.0,79.3,高
湖北九有投资股份有限公司,上市公司,未知,2,1100.0,78.9,高
天衡会计师事务所,会计师事务所,江苏南京,1,541.58,78.9,高
中审众环会计师事务所(特殊普通合伙),会计师事务所,湖北,1,513.7736,78.7,高
厦门顺鑫联投资管理有限公司,其他,未知,1,513.8058,78.7,高
江苏吴中医药发展股份有限公司,上市公司,江苏,1,500.0,78.6,高
三七互娱网络科技集团股份有限公司,上市公司,广东,1,500.0,78.6,高
天安财产保险股份有限公司,保险,未知,1,253.0,76.6,高
中审众环会计师事务所,会计师事务所,湖北省武汉市,1,242.9623,76.5,高
华夏人寿保险股份有限公司,保险,未知,1,232.0,76.4,高
越博动力,上市公司,未知,1,230.0,76.3,高
和合期货有限公司,其他,山西,1,200.0,75.9,高
广东超华科技股份有限公司,上市公司,广东,1,200.0,75.9,高
江苏诺泰澳赛诺生物制药股份有限公司,上市公司,浙江,1,200.0,75.9,高
中国证券监督管理委员会,其他,北京,88,206777.6343,75.70568181818182,高
中审华会计师事务所(特殊普通合伙),会计师事务所,未知,1,175.9434,75.5,高
中兴华会计师事务所(特殊普通合伙),会计师事务所,北京,1,169.9057,75.4,高
中兴财光华会计师事务所(特殊普通合伙),会计师事务所,未知,1,121.5645,74.4,高
天安人寿保险股份有限公司,保险,未知,1,99.0,73.8,高
中喜会计师事务所,会计师事务所,北京,1,70.0,72.8,高
上海浦东发展银行股份有限公司,银行,未知,6,2830.0,70.83333333333333,高
东海证券股份有限公司,证券公司,江苏,1,6018.0,70.0,高
中银理财有限责任公司,基金,未知,1,1290.0,70.0,高
成都新易盛通信技术股份有限公司,上市公司,四川省成都市,1,6299.7109,70.0,高
中国银行股份有限公司,银行,未知,1,9790.0,70.0,高
恒丰银行股份有限公司,银行,未知,1,6150.0,70.0,高
交银理财有限责任公司,其他,未知,1,1750.0,70.0,高
广发银行股份有限公司,银行,未知,1,6670.0,70.0,高
广银理财有限责任公司,其他,未知,1,1199.88,70.0,高
中信百信银行股份有限公司,银行,未知,1,1120.0,70.0,高
大唐高鸿网络股份有限公司,上市公司,贵州,1,12500.0,70.0,高
利安达会计师事务所,会计师事务所,北京,2,1963.1138,70.0,高
华夏银行股份有限公司,银行,未知,1,8725.0,70.0,高
华夏理财有限责任公司,基金,未知,1,1200.0,70.0,高
泰康在线财产保险股份有限公司,保险,未知,1,823.3566,70.0,高
北京朗信投资有限公司,证券公司,未知,1,6060.3015,70.0,高
中国农业银行股份有限公司,银行,未知,1,2720.0,70.0,高
平安银行股份有限公司,银行,未知,1,1880.0,70.0,高
永拓会计师事务所,会计师事务所,未知,1,716.0377,69.7,高
兴业银行股份有限公司,银行,未知,1,720.0,69.7,高
北京中银律师事务所,律师事务所,北京,1,23.8679,69.6,高
中国民生银行股份有限公司,银行,未知,2,6455.0,69.55,高
中信银行股份有限公司,银行,未知,2,1690.0,69.45,高
大信会计师事务所(特殊普通合伙),会计师事务所,北京,2,1779.2451999999998,68.9,高
中水致远资产评估有限公司,其他,未知,1,17.1509,68.7,高
中国大地财产保险股份有限公司,保险,未知,1,473.0,68.5,高
中国太平洋财产保险股份有限公司,保险,未知,1,472.0,68.5,高
北方亚事资产评估有限责任公司,其他,广东,1,475.08,68.5,高
江苏天瑞仪器股份有限公司,上市公司,未知,1,460.0,68.4,高
中国光大银行股份有限公司,银行,未知,1,430.0,68.2,高
泰康人寿保险有限责任公司,保险,未知,1,427.0,68.2,高
中国人民财产保险股份有限公司,保险,未知,1,430.0,68.2,高
派瑞股份,上市公司,未知,3,0.0,68.03333333333333,高
华安财产保险股份有限公司,保险,未知,1,386.0,67.9,高
民生通惠资产管理有限公司,其他,未知,1,390.0,67.9,高
太平财产保险有限公司,保险,未知,1,373.0,67.8,高
北京海润天睿律师事务所,律师事务所,北京,1,349.64,67.6,高
兴民智通(集团)股份有限公司,上市公司,未知,2,1032.7703,67.6,高
立信会计师事务所(特殊普通合伙),会计师事务所,未知,1,349.434,67.6,高
中国太平洋人寿保险股份有限公司,保险,未知,1,353.0,67.6,高
国元农业保险股份有限公司,保险,未知,1,340.0,67.5,高
中国进出口银行,银行,未知,2,1940.0,67.3,高
北京兴华会计师事务所,会计师事务所,未知,1,303.0189,67.2,高
首航高科能源技术股份有限公司,上市公司,北京,1,300.0,67.1,高
中再资产管理股份有限公司,其他,未知,1,300.0,67.1,高
海南易凡私募基金管理有限公司,基金,海南省海口市,1,300.0,67.1,高
恒大人寿保险有限公司,保险,未知,1,282.5,66.9,高
上海市通力律师事务所,律师事务所,上海,1,248.0,66.6,高
公证天业会计师事务所,会计师事务所,江苏,1,240.0,66.5,高
幸福人寿保险股份有限公司,保险,未知,1,231.0,66.3,高
信银理财有限责任公司,基金,未知,1,220.0,66.2,高
唯特偶,上市公司,深圳,3,0.0,66.2,高
公证天业会计师事务所(特殊普通合伙),会计师事务所,江苏省无锡市,1,224.0,66.2,高
太平资产管理有限公司,其他,未知,2,748.0,66.19999999999999,高
北京市竞天公诚律师事务所,律师事务所,北京,1,187.1698,65.7,高
渤海证券股份有限公司,证券,天津,1,177.8113,65.6,高
易安财产保险股份有限公司,保险,未知,1,171.0,65.4,高
中国建设银行股份有限公司,银行,未知,2,360.0,64.9,高
北京国融兴华资产评估有限责任公司,其他,未知,1,142.7358,64.9,高
平银,银行,未知,8,0.0,64.85,高
阳光保险集团股份有限公司,保险,未知,1,140.0,64.8,高
华夏久盈资产管理有限责任公司,基金,未知,2,336.0,64.8,高
平安银行,银行,未知,92,0.0,64.69130434782609,高
永诚保险资产管理有限公司,保险,未知,1,120.0,64.4,高
交银保险资产管理有限公司,其他,未知,1,115.0,64.3,高
兴业银行,银行,未知,7,0.0,64.28571428571429,高
中国工商银行股份有限公司,银行,未知,1,105.0,64.0,高
某某证券公司,证券,未知,15,0.0,63.873333333333335,高
太平洋资产管理有限责任公司,其他,未知,1,100.0,63.8,高
江苏世纪同仁律师事务所,律师事务所,江苏,1,95.4717,63.7,高
浦发银行,银行,未知,55,0.0,63.60363636363636,高
某某上市公司,上市公司,未知,3,0.0,63.56666666666666,高
中国信达资产管理股份有限公司,其他,未知,1,90.0,63.5,高
沃克森(北京)国际资产评估有限公司,其他,未知,1,85.0943,63.4,高
建信金融资产投资有限公司,其他,未知,1,85.0,63.4,高
某上市公司,上市公司,未知,16,0.0,63.3375,高
某某银行,银行,未知,531,0.0,63.230508474576276,高
交通银行股份有限公司,银行,未知,1,80.0,63.2,高
安心财产保险有限责任公司,保险,未知,1,77.0,63.1,高
泰坦股份,上市公司,未知,1,0.0,62.8,高
望奎双汇,上市公司,黑龙江,1,0.0,62.8,高
韩国KOSDAQ指数,其他,未知,1,0.0,62.8,高
郑盛,其他,未知,1,0.0,62.8,高
康春叶,其他,未知,1,0.0,62.8,高
怡亚通,上市公司,广东,1,0.0,62.8,高
中国农业发展银行,银行,未知,2,1025.0,62.7,高
某某公司,上市公司,未知,56,0.0,62.362500000000004,高
招商银行股份有限公司,银行,未知,1,60.0,62.3,高
平安,其他,未知,6,0.0,62.28333333333333,高
