entity_type,risk_type,event_count,avg_risk_score
上市公司,信息披露风险,56,64.5
上市公司,信贷风险,2,55.2
上市公司,其他风险,34,31.176470588235293
上市公司,内部控制风险,3,39.666666666666664
上市公司,合规风险,74,53.88108108108108
上市公司,市场操纵风险,50,59.29600000000001
上市公司,经营风险,40,38.9875
上市公司,舆情风险,38,43.20263157894737
"上市公司, 银行",合规风险,1,54.1
个人,市场操纵风险,1,80.0
会计师事务所,合规风险,22,73.91363636363636
保险,合规风险,22,66.36818181818181
保险,舆情风险,1,30.0
"保险, 证券",市场操纵风险,1,38.1
其他,信息披露风险,1,65.8
其他,其他风险,9,36.111111111111114
其他,内部控制风险,1,75.9
其他,合规风险,176,60.86306818181818
其他,市场操纵风险,34,57.35
其他,经营风险,1,49.0
其他,舆情风险,19,56.06842105263158
基金,信息披露风险,1,67.1
基金,其他风险,3,35.0
基金,合规风险,13,58.83846153846154
基金,市场操纵风险,3,56.4
基金,经营风险,1,40.0
基金,舆情风险,1,53.7
律师事务所,合规风险,5,66.64
监管机构,信息披露风险,1,76.6
监管机构,合规风险,86,76.11046511627907
证券,其他风险,9,32.22222222222222
证券,合规风险,14,62.707142857142856
证券,市场操纵风险,8,60.275
证券,流动性风险,1,45.0
证券,经营风险,3,42.266666666666666
证券,舆情风险,6,39.166666666666664
证券公司,合规风险,4,74.925
银行,信息披露风险,3,65.86666666666667
银行,信贷风险,2,67.25
银行,其他风险,3,34.833333333333336
银行,合规风险,770,63.07181818181819
银行,市场操纵风险,3,55.86666666666667
