month,negative_news_count,negative_comment_count,negative_ratio,avg_sentiment_score
2024-05,0,0,0.0,-1.0
2024-06,0,0,0.0,-1.0
2024-07,0,0,0.0,-1.0
2025-01,0,0,0.0,-1.0
2025-02,0,0,0.0,-1.0
2025-03,0,0,0.0,-1.0
2025-04,0,0,0.0,-1.0
2025-05,0,0,0.0,-1.0
2025-06,0,0,0.0,-1.0
2025-07,0,0,0.0,-1.0
2025-08,0,0,0.0,-1.0
2025-09,0,0,0.0,-1.0
2025-10,0,0,0.0,-1.0
2025-11,0,0,0.0,-1.0
2025-12,0,0,0.0,-1.0
2026-01,0,0,0.0,-1.0
2026-02,0,0,0.0,-1.0
2026-03,0,2,0.6667,-1.0
2026-04,0,3,0.2308,-1.0
2026-05,0,350,0.9589,-0.950958904109589
2026-06,70,715,0.8369,-0.755405117270789
