entity_name,entity_type,region,event_count,total_penalty_amount,avg_risk_score,risk_level
国家医保局基金监管司有关负责人就约谈一心堂药业集团股份有限公司,pharma,unknown,1,0,54.8,medium
国家医保局基金监管司约谈一心堂药业集团股份有限公司,pharma,unknown,1,0,54.8,medium
积水潭等四家国家级医院,hospital,山西,1,0,54.8,medium
上榜2024年度中医药,other,unknown,1,0,45.0,medium
与华中科技大学同济医学院附属同济医院,hospital,unknown,1,0,45.0,medium
江苏省南通市启东市中医院,hospital,江苏,1,0,45.0,medium
长沙市中心医院,hospital,unknown,1,0,45.0,medium
上海乐仓医疗等4起医疗器械,device_company,上海,1,0,44.8,medium
但一些代驾服务平台,health_platform,unknown,1,0,44.8,medium
全国电视频道全面清除虚假宣传医药,other,unknown,1,0,44.8,medium
国务院安委会办公室联合三部委约谈中国交通建设集团有限公司和中国电力建设集团有限公司,other,unknown,1,0,44.8,medium
国家医保局在全国范围内组织开展2026年定点医药,other,unknown,1,0,44.8,medium
国家医疗保障局关于开展2025年定点医药,other,unknown,1,0,44.8,medium
广州合和医药,pharma,unknown,1,0,44.8,medium
物业公司,other,unknown,1,0,44.8,medium
若非医院,hospital,unknown,1,0,44.8,medium
齐鲁医院,hospital,山东,4,0,40.0,medium
网络平台,health_platform,unknown,2,0,39.8,medium
中国中医科学院西苑医院,hospital,unknown,18,0,35.0,medium
中国医学科学院阜外医院,hospital,unknown,8,0,35.0,medium
北京大学首钢医院,hospital,北京,7,0,35.0,medium
清华大学北京清华长庚医院,hospital,北京,7,0,35.0,medium
北京协和医院,hospital,北京,6,0,35.0,medium
有的地方通过国企出巨资收购省外上市公司,other,unknown,2,0,35.0,medium
某些社交平台,health_platform,unknown,2,0,34.8,medium
一些个人和劳务中介公司,other,unknown,1,0,34.8,medium
一些平台,health_platform,unknown,1,0,34.8,medium
中日友好医院,hospital,unknown,1,0,34.8,medium
受到伤害的2岁女童仍在当地医院,hospital,unknown,1,0,34.8,medium
商业平台,health_platform,unknown,1,0,34.8,medium
国家要求矿山修复产生的剩余土石料应进入公共平台,health_platform,福建,1,0,34.8,medium
在各大短视频平台,health_platform,unknown,1,0,34.8,medium
对于那些履责不力的平台,health_platform,天津,1,0,34.8,medium
山西吕梁南高速公路管理有限公司,other,山西,1,0,34.8,medium
新华网视评丨平台,health_platform,unknown,1,0,34.8,medium
无论是在黄河湿地国家级自然保护区内擅自建设钢结构木质平台,health_platform,unknown,1,0,34.8,medium
有关网络平台,health_platform,unknown,1,0,34.8,medium
某些商业平台,health_platform,unknown,1,0,34.8,medium
某新能源有限公司,other,unknown,1,0,34.8,medium
氢氟酸在部分电商平台,health_platform,unknown,1,0,34.8,medium
江西的唐先生将身患重症的孩子从省儿童医院,hospital,unknown,1,0,34.8,medium
海南省三亚市卫健委,other,unknown,1,0,34.8,medium
环保科技公司,other,unknown,1,0,34.8,medium
第三方平台,health_platform,unknown,1,0,34.8,medium
而是由经开区城投公司,other,unknown,1,0,34.8,medium
行业协会也要承担起赛事指导与平台,health_platform,unknown,1,0,34.8,medium
该微短剧已在短视频平台,health_platform,unknown,1,0,34.8,medium
这些公司,other,unknown,1,0,34.8,medium
部分平台,health_platform,unknown,1,0,34.8,medium
限于在该公司,other,unknown,1,0,34.8,medium
北京中医药大学东直门医院,hospital,北京,5,0,30.0,low
广东省中医院,hospital,广东,5,0,30.0,low
中国中医科学院广安门医院,hospital,unknown,4,0,30.0,low
北京儿童医院顺义妇儿医院,hospital,北京,4,0,30.0,low
以岭药业,pharma,澳门,3,0,30.0,low
解放军总医院,hospital,unknown,3,0,30.0,low
首都医科大学附属北京中医医院,hospital,北京,3,0,30.0,low
首都医科大学附属北京朝阳医院,hospital,北京,3,0,30.0,low
上海市东方医院,hospital,上海,2,0,25.0,low
严控非医药,other,unknown,2,0,25.0,low
