region,event_count,total_penalty_amount,high_risk_count,avg_risk_score
unknown,1064,0,71,34.70676691729323
北京,111,0,2,29.996396396396396
广东,18,0,0,32.47777777777778
山东,16,0,3,34.05
浙江,13,0,0,30.384615384615383
上海,10,0,0,31.98
天津,10,0,0,27.98
云南,8,0,1,34.975
江西,7,0,0,32.142857142857146
湖南,7,0,0,32.142857142857146
海南,5,0,1,40.96
广西,5,0,1,36.96
山西,5,0,1,34.92
江苏,5,0,1,31.0
福建,5,0,0,30.96
吉林,4,0,1,44.9
新疆,4,0,0,35.0
安徽,4,0,0,34.95
重庆,4,0,0,33.7
四川,3,0,0,35.0
湖北,3,0,0,35.0
陕西,3,0,0,35.0
河北,3,0,0,31.666666666666668
青海,3,0,0,31.666666666666668
甘肃,3,0,0,31.599999999999998
贵州,3,0,0,25.0
黑龙江,2,0,1,44.9
内蒙古,2,0,0,35.0
河南,2,0,0,35.0
辽宁,2,0,0,30.0
宁夏,1,0,0,35.0
西藏,1,0,0,35.0
香港,1,0,0,35.0
澳门,1,0,0,30.0
