entity_type,risk_type,event_count,avg_risk_score
device_company,drug_safety_risk,1,25.0
device_company,medical_device_risk,1,44.8
health_platform,advertising_risk,16,31.099999999999998
health_platform,dispute_risk,1,34.8
health_platform,drug_safety_risk,2,20.0
health_platform,insurance_compliance_risk,2,25.0
health_platform,other_risk,5,25.0
health_platform,pricing_risk,8,23.7
health_platform,public_opinion_risk,21,15.476190476190476
health_platform,quality_compliance_risk,7,33.4
hospital,advertising_risk,4,32.5
hospital,dispute_risk,1,34.8
hospital,drug_safety_risk,6,31.599999999999998
hospital,insurance_compliance_risk,8,23.75
hospital,medical_device_risk,3,24.933333333333334
hospital,other_risk,236,29.85084745762712
medical_beauty,dispute_risk,1,54.8
medical_beauty,other_risk,2,35.0
other,advertising_risk,29,37.33103448275862
other,dispute_risk,10,41.839999999999996
other,drug_safety_risk,47,35.62127659574468
other,insurance_compliance_risk,316,39.427215189873415
other,medical_device_risk,17,33.188235294117646
other,other_risk,442,34.547511312217196
other,pricing_risk,18,34.34444444444444
other,public_opinion_risk,83,27.872289156626508
other,quality_compliance_risk,31,41.94838709677419
pharma,drug_safety_risk,3,33.266666666666666
pharma,insurance_compliance_risk,2,54.8
pharma,other_risk,15,27.666666666666668
