month,regulation_count,news_count,comment_count,high_risk_count,total_penalty_amount,avg_risk_score
2020-04,1,0,0,0,0,35.0
2020-05,1,0,0,0,0,35.0
2020-06,1,0,0,0,0,35.0
2020-07,1,0,0,0,0,35.0
2020-08,1,0,0,0,0,35.0
2020-09,1,0,0,0,0,25.0
2020-10,1,0,0,0,0,35.0
2020-11,1,0,0,0,0,35.0
2021-01,2,0,0,0,0,35.0
2021-02,1,0,0,0,0,35.0
2021-03,1,0,0,0,0,35.0
2021-04,1,0,0,0,0,35.0
2021-05,1,0,0,0,0,35.0
2021-06,1,0,0,0,0,35.0
2021-07,1,0,0,0,0,35.0
2021-08,1,0,0,0,0,35.0
2021-09,1,0,0,0,0,35.0
2021-11,2,0,0,0,0,35.0
2021-12,1,0,2,0,0,28.333333333333332
2022-01,1,0,2,2,0,41.666666666666664
2022-02,1,0,0,0,0,35.0
2022-03,1,0,6,1,0,29.285714285714285
2022-04,1,0,0,0,0,35.0
2022-05,1,0,1,0,0,30.0
2022-06,1,0,0,0,0,35.0
2022-08,2,0,0,0,0,35.0
2022-09,1,0,4,1,0,30.96
2022-11,3,0,2,1,0,36.96
2022-12,2,0,0,0,0,35.0
2023-01,11,0,1,0,0,34.166666666666664
2023-05,1,0,0,0,0,35.0
2023-06,1,0,0,1,0,64.8
2023-07,4,0,0,2,0,49.9
2023-08,1,0,0,1,0,64.8
2023-09,1,0,0,1,0,64.8
2023-10,2,0,7,2,0,38.22222222222222
2023-11,0,0,10,1,0,28.919999999999998
2023-12,1,0,14,1,0,32.89333333333333
2024-01,11,0,9,0,0,31.97
2024-02,0,0,2,1,0,44.8
2024-03,1,0,10,0,0,30.4
2024-04,14,0,13,12,0,45.614814814814814
2024-05,7,0,12,7,0,43.810526315789474
2024-06,15,0,5,16,0,56.31999999999999
2024-07,1,0,3,0,0,32.45
2024-08,1,0,15,1,0,27.4625
2024-09,0,7,7,0,0,36.357142857142854
2024-10,1,32,2,1,0,34.42857142857143
2024-11,0,36,1,0,0,34.31891891891892
2024-12,1,33,0,0,0,33.529411764705884
2025-01,19,48,0,0,0,33.355223880597016
2025-02,2,37,2,1,0,33.77560975609756
2025-03,2,23,1,0,0,32.49230769230769
2025-04,3,19,2,2,0,33.324999999999996
2025-05,0,13,6,0,0,33.89473684210526
2025-06,4,19,6,0,0,32.04137931034483
2025-07,4,23,6,0,0,32.10909090909091
2025-08,1,14,1,0,0,31.25
2025-09,2,18,3,0,0,31.721739130434784
2025-10,3,8,1,0,0,28.75
2025-11,10,13,1,0,0,32.916666666666664
2025-12,13,32,1,1,0,32.391304347826086
2026-01,12,39,9,3,0,32.903333333333336
2026-02,6,59,8,1,0,33.81917808219178
2026-03,23,62,7,3,0,31.786956521739132
2026-04,27,74,11,5,0,34.35
2026-05,28,56,14,6,0,33.80612244897959
2026-06,45,30,15,9,0,34.757777777777775
2027-05,0,1,0,0,0,35.0
unknown,0,105,2,0,0,33.40934579439252
