month,negative_news_count,negative_comment_count,negative_ratio,avg_sentiment_score
2020-04,0,0,0.0,0.0
2020-05,0,0,0.0,0.0
2020-06,0,0,0.0,0.0
2020-07,0,0,0.0,0.0
2020-08,0,0,0.0,0.0
2020-09,0,0,0.0,0.0
2020-10,0,0,0.0,0.0
2020-11,0,0,0.0,0.0
2021-01,0,0,0.0,0.0
2021-02,0,0,0.0,0.0
2021-03,0,0,0.0,0.0
2021-04,0,0,0.0,0.0
2021-05,0,0,0.0,0.0
2021-06,0,0,0.0,0.0
2021-07,0,0,0.0,0.0
2021-08,0,0,0.0,0.0
2021-09,0,0,0.0,0.0
2021-11,0,0,0.0,0.0
2021-12,0,0,0.0,0.0
2022-01,0,0,0.0,0.0
2022-02,0,0,0.0,0.0
2022-03,0,0,0.0,0.0
2022-04,0,0,0.0,0.0
2022-05,0,0,0.0,0.0
2022-06,0,0,0.0,0.0
2022-08,0,0,0.0,0.0
2022-09,0,1,0.2,-0.13
2022-11,0,1,0.2,-0.13
2022-12,0,0,0.0,0.0
2023-01,0,0,0.0,0.0
2023-05,0,0,0.0,0.0
2023-06,0,0,0.0,-0.65
2023-07,0,0,0.0,-0.325
2023-08,0,0,0.0,-0.65
2023-09,0,0,0.0,-0.65
2023-10,0,4,0.4444,-0.3611111111111111
2023-11,0,4,0.4,-0.26
2023-12,0,7,0.4667,-0.3466666666666667
2024-01,0,3,0.15,-0.0975
2024-02,0,2,1.0,-0.65
2024-03,0,3,0.2727,-0.17727272727272728
2024-04,0,6,0.2222,-0.40925925925925927
2024-05,0,6,0.3158,-0.4447368421052632
2024-06,0,3,0.15,-0.5850000000000001
2024-07,0,1,0.25,-0.1625
2024-08,0,3,0.1875,-0.12187500000000001
2024-09,0,5,0.3571,-0.23214285714285715
2024-10,0,0,0.0,0.0
2024-11,0,1,0.027,-0.01756756756756757
2024-12,0,0,0.0,0.0
2025-01,0,0,0.0,-0.009701492537313432
2025-02,1,0,0.0244,-0.015853658536585366
2025-03,0,1,0.0385,-0.025
2025-04,0,1,0.0417,-0.027083333333333334
2025-05,1,4,0.2632,-0.17105263157894737
2025-06,0,4,0.1379,-0.0896551724137931
2025-07,1,1,0.0606,-0.0393939393939394
2025-08,0,0,0.0,0.0
2025-09,0,2,0.087,-0.05652173913043478
2025-10,0,0,0.0,0.0
2025-11,0,0,0.0,0.0
2025-12,0,0,0.0,0.0
2026-01,0,4,0.0667,-0.043333333333333335
2026-02,2,3,0.0685,-0.05342465753424658
2026-03,1,2,0.0326,-0.021195652173913046
2026-04,5,8,0.1161,-0.08125
2026-05,3,4,0.0714,-0.0663265306122449
2026-06,0,3,0.0333,-0.065
2027-05,0,0,0.0,0.0
unknown,1,0,0.0093,-0.006074766355140187
