record_id,source_type,source,title,event_date,content,mentioned_entity,channel,url
NEWS_000001,news,新华健康-首页,北大肿瘤沈琳：深耕胃癌四十载 以中国智慧改写全球治疗格局,,北大肿瘤沈琳：深耕胃癌四十载 以中国智慧改写全球治疗格局,,医疗健康新闻,https://www.news.cn/health/20260615/e560b8a3848347b58dba7984df32e54b/c.html
NEWS_000002,news,新华健康-首页,当近视管理走向长期主义：7年循证数据带来的新启示,,当近视管理走向长期主义：7年循证数据带来的新启示,,医疗健康新闻,https://www.news.cn/health/20260605/570665341e4941619ad243bd2b9ef564/c.html
NEWS_000003,news,新华健康-首页,蛀牙反复难防？抗糖防蛀是关键，舒客宝贝三重抗糖酸守护儿童牙齿健康,,蛀牙反复难防？抗糖防蛀是关键，舒客宝贝三重抗糖酸守护儿童牙齿健康,,医疗健康新闻,https://www.news.cn/health/20260601/e1afd422a60143e6acc92a776d4bee13/c.html
NEWS_000004,news,新华健康-首页,海思科1类静脉麻醉创新药环泊酚获美国FDA批准上市,,海思科1类静脉麻醉创新药环泊酚获美国FDA批准上市,,医疗健康新闻,https://www.news.cn/health/20260601/42c4560493f043b5bc54a7da9cd218c9/c.html
NEWS_000005,news,新华健康-首页,外企在中国丨默沙东全球首席医学官兼临床开发负责人白立夫博士：研发向新，合作向深——连接中国创新生态，共创全球健康价值,,外企在中国丨默沙东全球首席医学官兼临床开发负责人白立夫博士：研发向新，合作向深——连接中国创新生态，共创全球健康价值,,医疗健康新闻,https://www.news.cn/health/20260526/dd46941b76a341fc94d558923c16fb2a/c.html
NEWS_000006,news,新华健康-首页,全民血压关爱计划第二季启动：从“知晓”到“识别”，筑牢家庭血压防线,,全民血压关爱计划第二季启动：从“知晓”到“识别”，筑牢家庭血压防线,,医疗健康新闻,https://www.news.cn/health/20260516/db4156ad13a34ab392318b438af99049/c.html
NEWS_000007,news,新华健康-首页,上海天佑医院创新发展实践入选行业蓝皮书,,上海天佑医院创新发展实践入选行业蓝皮书,,医疗健康新闻,https://www.news.cn/health/20260616/4254444df4d446e9ac34e161b2aca434/c.html
NEWS_000008,news,新华健康-首页,苁蓉“花”开在荒漠！,,苁蓉“花”开在荒漠！,,医疗健康新闻,https://www.news.cn/health/20260616/b90479600b6a4223945077a0f032494e/c.html
NEWS_000009,news,新华健康-首页,AI赋能千行百业一线观察│AI诊疗（下）：AI看病，还有几道坎要过？,,AI赋能千行百业一线观察│AI诊疗（下）：AI看病，还有几道坎要过？,,医疗健康新闻,https://www.news.cn/health/20260616/b21ee1ef64f5405994e112fec597e347/c.html
NEWS_000010,news,新华健康-首页,AI赋能千行百业一线观察│AI诊疗（上）：当医院来了“AI新同事”,,AI赋能千行百业一线观察│AI诊疗（上）：当医院来了“AI新同事”,,医疗健康新闻,https://www.news.cn/health/20260616/4c5359f5e9ae46d7892cc7300d6fc842/c.html
