record_id,source_type,source,title,event_date,entity_name,raw_text,penalty_amount,agency,region,url
REG_000001,regulation,国家医保局-医保动态,中央第八巡视组巡视国家医疗保障局党组工作动员会召开,2026-04-14,,"国家医保局-医保动态 中央第八巡视组巡视国家医疗保障局党组工作动员会召开
国家医保局-医保动态 中央第八巡视组巡视国家医疗保障局党组工作动员会召开",0,国家医疗保障局,,https://www.nhsa.gov.cn/art/2026/4/14/art_14_20212.html
REG_000002,regulation,国家医保局-医保动态,6月15日起，又一地宝妈喜提新福利！,2026-06-16,,"国家医保局-医保动态 6月15日起，又一地宝妈喜提新福利！
国家医保局-医保动态 6月15日起，又一地宝妈喜提新福利！",0,国家医疗保障局,,https://www.nhsa.gov.cn/art/2026/6/16/art_14_21014.html
REG_000003,regulation,国家医保局-医保动态,浙江医保和您一起比药价,2026-06-16,,"国家医保局-医保动态 浙江医保和您一起比药价
国家医保局-医保动态 浙江医保和您一起比药价",0,国家医疗保障局,浙江,https://www.nhsa.gov.cn/art/2026/6/16/art_14_21010.html
REG_000004,regulation,国家医保局-医保动态,上海医保和您一起比药价,2026-06-15,,"国家医保局-医保动态 上海医保和您一起比药价
国家医保局-医保动态 上海医保和您一起比药价",0,国家医疗保障局,上海,https://www.nhsa.gov.cn/art/2026/6/15/art_14_21002.html
REG_000005,regulation,国家医保局-医保动态,中共山西省委办公厅 山西省人民政府办公厅关于印发《山西省加快建立长期...,2026-06-15,,"国家医保局-医保动态 中共山西省委办公厅 山西省人民政府办公厅关于印发《山西省加快建立长期...
国家医保局-医保动态 中共山西省委办公厅 山西省人民政府办公厅关于印发《山西省加快建立长期...",0,国家医疗保障局,山西,https://www.nhsa.gov.cn/art/2026/6/15/art_14_21000.html
REG_000006,regulation,国家医保局-医保动态,专项行动典型案例第五期：定点零售药店违法违规使用医保基金问题,2026-06-15,,"国家医保局-医保动态 专项行动典型案例第五期：定点零售药店违法违规使用医保基金问题
国家医保局-医保动态 专项行动典型案例第五期：定点零售药店违法违规使用医保基金问题",0,国家医疗保障局,,https://www.nhsa.gov.cn/art/2026/6/15/art_14_20994.html
REG_000007,regulation,国家医保局-医保动态,有的药盒上印的MA码是什么？有什么用？,2026-06-15,,"国家医保局-医保动态 有的药盒上印的MA码是什么？有什么用？
国家医保局-医保动态 有的药盒上印的MA码是什么？有什么用？",0,国家医疗保障局,,https://www.nhsa.gov.cn/art/2026/6/15/art_14_20991.html
REG_000008,regulation,国家医保局-医保动态,吉林省人民政府办公厅关于印发《吉林省完善长期护理保险制度实施方案》的...,2026-06-14,,"国家医保局-医保动态 吉林省人民政府办公厅关于印发《吉林省完善长期护理保险制度实施方案》的...
国家医保局-医保动态 吉林省人民政府办公厅关于印发《吉林省完善长期护理保险制度实施方案》的...",0,国家医疗保障局,吉林,https://www.nhsa.gov.cn/art/2026/6/14/art_14_20986.html
REG_000009,regulation,国家医保局-医保动态,我的诊室挤满了孩子，家长却不愿相信 TA 们病了,2026-06-13,,"国家医保局-医保动态 我的诊室挤满了孩子，家长却不愿相信 TA 们病了
国家医保局-医保动态 我的诊室挤满了孩子，家长却不愿相信 TA 们病了",0,国家医疗保障局,,https://www.nhsa.gov.cn/art/2026/6/13/art_14_20984.html
REG_000010,regulation,国家医保局-医保动态,数智赋能定点医药机构 杭州创新打造医保服务“钉”模式,2026-06-13,,"国家医保局-医保动态 数智赋能定点医药机构 杭州创新打造医保服务“钉”模式
国家医保局-医保动态 数智赋能定点医药机构 杭州创新打造医保服务“钉”模式",0,国家医疗保障局,,https://www.nhsa.gov.cn/art/2026/6/13/art_14_20982.html
