source,title,publish_time,stock_or_entity,content,read_count,comment_count,url,crawl_time
新华网评论-最新评论,新华网视评｜管住任性“拍板”的手,2026-06-16,,招商项目本应结合地方发展实际，审慎论证、科学评估。然而，近年来一些地方招商项目仓促上马，少数领导干部随意“拍板”，隐患重重，甚至造成重大损失。 一些重大招商项目的教训极为深刻。比如南方某县为引进一家号称世界领先的显示材料生产企业，在尽职调查不充分的情况下匆匆签约落地，结果不久就陷入停产困境。再如，某开发区片面追求整车企业数量和规模，不顾风险投入巨额财政资金，多个项目先后停产。 一些地方领导干部为了在任期内快速出亮点，只盯着“高大上”的新项目，盲目追求“当年签约、当年开工、当年投产”，至于项目是否符合市场规律、技术是否成熟、企业有无真实实力，缺乏严谨细致的考察论证。记者调研发现，不少重大招商项目由“一把手”直接拍板。 随意决策，折射少数领导干部权力任性。当尽职调查、专家论证、风险评估等环节流于形式，当行政命令压过专业判断，再多的制度规定也会沦为摆设，以至于基层有时会出现这样吊诡的一幕：个别市县主要领导落马之际，也是少数“明星企业”关停之时。 管住任性“拍板”的手，要健全重大项目尽职调查机制。同时，要完善责任追究机制，对因盲目决策、违规操作、玩忽职守造成重大损失的，要严肃追责问责，让任性决策者付出应有代价。（文案：冯俊扬 黄浩然）,,,https://www.news.cn/comments/20260616/3358996d76ae41d9ab322546fa634ada/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网三评之二：管住任性“拍板”的手,2026-06-16,,新华网南昌6月16日电 题：管住任性“拍板”的手 新华网记者冯俊扬 黄浩然 招商项目本应结合地方发展实际，审慎论证、科学评估。然而，近年来一些地方招商项目仓促上马，少数领导干部随意“拍板”，隐患重重，甚至造成重大损失。 一些重大招商项目的教训极为深刻。比如南方某县为引进一家号称世界领先的显示材料生产企业，在尽职调查不充分的情况下匆匆签约落地，结果不久就陷入停产困境。再如，某开发区片面追求整车企业数量和规模，不顾风险投入巨额财政资金，多个项目先后停产。 一些地方领导干部为了在任期内快速出亮点，只盯着“高大上”的新项目，盲目追求“当年签约、当年开工、当年投产”，至于项目是否符合市场规律、技术是否成熟、企业有无真实实力，缺乏严谨细致的考察论证。记者调研发现，不少重大招商项目由“一把手”直接拍板。 随意决策，折射少数领导干部权力任性。当尽职调查、专家论证、风险评估等环节流于形式，当行政命令压过专业判断，再多的制度规定也会沦为摆设，以至于基层有时会出现这样吊诡的一幕：个别市县主要领导落马之际，也是少数“明星企业”关停之时。 管住任性“拍板”的手，要健全重大项目尽职调查机制。同时，要完善责任追究机制，对因盲目决策、违规操作、玩忽职守造成重大损失的，要严肃追责问责，让任性决策者付出应有代价。 新华网三评之一：招商岂能沦为“豪赌”,,,https://www.news.cn/comments/20260616/ff09ca68fa044ee2bb90266c6039fa43/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网视评｜招商岂能沦为“豪赌”,2026-06-15,有的地方通过国企出巨资收购省外上市公司,招商引资是促进地方经济发展、增加居民就业的重要方式。然而，近年来，一些地方招引的所谓重大项目屡屡烂尾，造成重大损失，受到社会广泛关注。 记者在基层调研发现，有的地方招引号称投资上百亿元的重大工业项目，给优惠给补贴，结果投产两年即停摆；有的地方通过国企出巨资收购省外上市公司，事后发现该企业有巨额潜亏；还有的地方为了抢项目，代建厂房、补贴设备，不顾成本搞“内卷式”竞争…… 开工时轰轰烈烈，烂尾时一地鸡毛。有些项目涉及的官员锒铛入狱，基层干部群众对此多有诟病。 最直接的危害就是财政资金“打水漂”，群众切身利益被损害。有的地方本就财力薄弱，为招引项目盲目给补贴、给优惠，甚至直接注资当股东。一旦项目烂尾或企业爆雷，前期投入血本无归。 地方引进重大项目初衷本没有错，但如果偏离了市场规律和法治轨道，沦为一场“豪赌”，就会南辕北辙，得不偿失。 地方发展等不起，百姓期待伤不起。招商引资必须坚决纠正短视、狭隘的“招商观”，加快建立科学的招商评估和风险防控机制，明确自身主导产业发展定位，不搞脱离实际的“产业造梦”，让招商引资真正赋能地方发展、壮大地方产业。（文案：冯俊扬 余贤红）,,,https://www.news.cn/comments/20260615/011541a345944f5fb7fb95073ca8228b/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网三评之一：招商岂能沦为“豪赌”,2026-06-15,有的地方通过国企出巨资收购省外上市公司,新华网南昌6月15日电 题：招商岂能沦为“豪赌” 新华网记者冯俊扬 余贤红 招商引资是促进地方经济发展、增加居民就业的重要方式。然而，近年来，一些地方招引的所谓重大项目屡屡烂尾，造成重大损失，受到社会广泛关注。 记者在基层调研发现，有的地方招引号称投资上百亿元的重大工业项目，给优惠给补贴，结果投产两年即停摆；有的地方通过国企出巨资收购省外上市公司，事后发现该企业有巨额潜亏；还有的地方为了抢项目，代建厂房、补贴设备，不顾成本搞“内卷式”竞争…… 开工时轰轰烈烈，烂尾时一地鸡毛。有些项目涉及的官员锒铛入狱，基层干部群众对此多有诟病。 最直接的危害就是财政资金“打水漂”，群众切身利益被损害。有的地方本就财力薄弱，为招引项目盲目给补贴、给优惠，甚至直接注资当股东。一旦项目烂尾或企业爆雷，前期投入血本无归。 地方引进重大项目初衷本没有错，但如果偏离了市场规律和法治轨道，沦为一场“豪赌”，就会南辕北辙，得不偿失。 地方发展等不起，百姓期待伤不起。招商引资必须坚决纠正短视、狭隘的“招商观”，加快建立科学的招商评估和风险防控机制，明确自身主导产业发展定位，不搞脱离实际的“产业造梦”，让招商引资真正赋能地方发展、壮大地方产业。,,,https://www.news.cn/comments/20260615/0d5e596457df4c1e89010b67ee50f90f/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网评：安全生产绝不能只“写在纸上、挂在墙上”,2026-06-12,国务院安委会办公室联合三部委约谈中国交通建设集团有限公司和中国电力建设集团有限公司,新华网北京6月12日电 题：安全生产绝不能只“写在纸上、挂在墙上” 近日，国务院安委会办公室联合三部委约谈中国交通建设集团有限公司和中国电力建设集团有限公司董事长及其有关下属二级公司主要负责人，直指企业安全责任制度悬空、安全制度和现场管理“两张皮”。 “纸面安全”挡不住塌桥塌方灾害的恶果。约谈指出广东梅大高速茶阳路段“5·1”塌方灾害、四川阿坝马尔康“11·11”红旗大桥垮塌灾害背后的深层问题，有关企业偷工减料、弄虚作假，同类事故隐患屡查屡犯。 此次约谈释放的信号直白又硬核：多大的光环，都护不住安全漏洞；什么样的巨头，也没有违规豁免特权。 安全是“1”，守不住“1”，后面再多的“0”也毫无意义。作为基建领域的国家队，相关企业被发现偷工减料、弄虚作假，违法分包、以包代管、包而不管，安全责任悬空，造成重特大事故，教训极其惨痛。 事实上，这已不是两家企业首次被约谈。近年来，中国交通建设集团有限公司因安全问题连续三年被约谈，中国电力建设集团有限公司相关项目也多次被地方约谈。屡谈不改，还出现重大问题，暴露出企业管理缺位、责任悬空，整改流于表面，未能触及根本。 安全无小事，生命大于天。当前正值第25个全国“安全生产月”，此次约谈亦是对全行业的警示：必须以“时时放心不下”的责任感抓安全，让制度落地、责任压实，杜绝敷衍塞责、表面文章，真正筑牢人民生命财产的安全防线。,,,https://www.news.cn/comments/20260612/dbb2d95d11114c4eb7373ffcbdef0d43/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网视评丨不要让“孤独树”成为流量时代的尴尬注脚,2026-06-11,但在热衷网红打卡的游客和追逐爆款的平台,陕西白鹿原那棵伫立麦田边、因极简治愈走红的网红“孤独树”，最近被村民砍秃了树冠。 起因很简单。游客蜂拥打卡，村民家的麦田被踩，搭设围挡无果，劝说收效甚微，村民无奈动手砍了“祸根”。对此，网民争论不休，村里的态度却很干脆：“庄稼比树重要。” 一棵树，两种视角。对于村民而言，麦地是生计，凝结着数月耕耘的汗水。但在热衷网红打卡的游客和追逐爆款的平台算法眼中，孤树伫立麦浪，是诗意风景，是浪漫想象，是庞大的流量。 面对麦田被踩，村里也坦言，“难以保证时时都有人在麦田附近监管”。朴素话语直击人心，也揭开了此类“野景点”的流量困境——平台把“孤独树”捧成爆款，线下成本却让村民和村干部扛。 更荒诞的是，树冠被砍后，打卡热潮非但没有消退，反而愈发汹涌，甚至有人猎奇式追逐“残缺之美”。村民拼命止损，游客跟风追热，平台还在源源不断推送。 树木可以再抽新枝、重焕生机，可一季庄稼损毁，农户一年的辛劳便付诸东流。追逐美景无可厚非，但不能以牺牲当地人的正常生活为代价，不能以牺牲农民生计为代价。 不要让一棵被砍秃的“孤独树”，成为流量时代的尴尬注脚。游客出门打卡，要守住文明底线；平台追求流量，不能丢掉社会责任。（评论员：赵刚）,,,https://www.news.cn/comments/20260611/392c6df8934448df8e985ac238b5367a/c.html,2026-06-17 07:53:45
新华网评论-最新评论,用心守护少年气,2026-06-08,丰盈平台,【关键词】少年气 【事件】“自信，就是大大方方地‘献丑’。越敢‘献丑’，路越好走。”近日，云南昆明一名6岁男孩在足球赛夺冠后激情“演讲”，自信洒脱、毫不怯场。这一幕，打动了不少人，同时也引起人们思考，新一代青少年松弛又勇敢，这样的变化从何而来？ 记得一个周末，在公园空地上看一群小朋友玩滑板。有个小朋友学着他人的样子颤颤巍巍站上滑板，重心没稳住，摔倒在地。他迅速起身，拍拍身上的灰，开始下一次尝试。没有丝毫沮丧和挫败，脸上那种欢快劲和眼里的光，令我印象深刻。 后来看到13岁的李勇秋在法国巴黎拿下街舞赛事少儿组全球总冠军的新闻，不禁遐思，那位小朋友或许也能成长为一名滑板冠军。 “自古英雄出少年”。这股子永不服输的劲头、敢于一遍遍尝试的勇气，以及未来无限的可能性，正是少年气的重要特征。 少年气从何而来？ 天真稚气需呵护。“灯把黑夜/烫出了一个窟窿”“我挥挥手/就有很多手/我跑步/就有很多脚”“下雨了，天和地在打水仗，他们不分胜负，直到雨停”……这些诗句，展现了孩子们观察世界的独特视角、直观感受，饱含对未知事物的强烈好奇心与探索欲望。 不久前印发的《关于在全社会推进儿童友好建设的意见》，将“一米视角”正式确立为国土空间规划和城市更新专项规划等的重要遵循。今天，孩子们身处的是一个更加包容开放、多元自由的环境。从学校到家庭再到社会，教育的目标不是寻找标准答案，而是培养可能性。 远大志向早扎根。被问及为什么长大想当兵，一名小朋友如此回答：“保卫祖国的边疆……让每一个人的脸上，都挂满笑容。”成立于2006年的上海市黄浦区卢湾一中心小学“红喇叭”小讲解员社团，平均年龄10岁，20年来开展讲解超千场、服务听众数万人次。家国大爱，从小就深植于内心，化作日常的言谈举止和代代相传的精神。 在体育竞技的赛场上奋勇拼搏，在创新创造的舞台上大放异彩，在革命旧址用心用情讲述党的历史、革命故事和英雄事迹……以少年意气承时代使命、以蓬勃朝气赴复兴之约，擦亮的是“丹心从来系家国”的底色。 丰盈平台添底气。博物馆里，近距离观赏文物；科技馆中，探索科学奥秘；趣味课堂、实践活动充分发展兴趣……在缤纷多彩的活动中，孩子们度过了一个欢乐的“六一”国际儿童节。从中，也能看到触手可及的公共服务与资源为孩子们搭建更广阔的成长天地。 前不久落幕的一场全球大赛上，北京市八一学校的战队摘得机器人竞赛单元全球冠军，中国少年的科创风采熠熠闪光。广东深圳的“小孩哥”“小孩姐”，有的用AI“手搓”MV和网站迎接APEC，有的在地铁上与外国友人全英文对话无压力……眼里有光、心中有梦、脚下有路，新时代少年儿童正以蓬勃昂扬的姿态茁壮成长，当他们平视世界、拥抱未来，可信可爱可敬的中国形象也进一步树立。 “使举国之少年而果为少年也，则吾中国为未来之国，其进步未可量也。”事业在一代代人的传承接力中推进，用心守护这股少年气，就是守护我们的未来。（邹 翔）,,,https://www.news.cn/comments/20260608/091e11eb096b432db3a46e9c1963e46d/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网视评｜“实践成果博士”释放学术评价新信号,2026-06-06,,近期，南京大学诞生首位以实践成果替代毕业论文的工程博士，消息一时刷屏。这位非在职博士研发的分布式光纤传感技术，已部署于南水北调等工程，甚至远销欧洲。有网友评价：“这是真把‘论文’写在祖国大地上。” 虽然不提交论文，但该毕业生的答辩要求却并不简单：用户单位应用报告、第三方检测、行业专家权威鉴定，缺一不可。 值得注意的是，此前，清华大学、中山大学等多所高校，已相继迎来首位“实践成果博士”。这释放出一个清晰的信号：学术评价，正换上多元化的“新尺子”。它不再只看纸面论文，而是丈量解决复杂工程问题的能力、技术创新的含金量、产业落地的实效。 改革高等教育评价体系的呼声由来已久。尤其对工科类教育而言，在“唯论文”导向下，存在为写而写，技术攻关能力弱化，实干精力被“纸面功夫”消耗等问题，偏离了育人的核心目标。2025年施行的《中华人民共和国学位法》明确，“实践成果”可与“学位论文”并列作为学位授予依据，为改革提供了法律支撑。 长期以来，唯论文、唯刊物、唯引用的片面评价导向，扭曲了科研与人才的评价逻辑，受到广泛诟病。“实践成果博士”的出现 ，为破除唯论文导向，构建分类分层评价体系开了个好头。兼顾成果实效、技术转化、一线贡献等实践成果，才能让科研回归求真致用的本源。（评论员：王志艳）,,,https://www.news.cn/comments/20260606/360155a2d07a432ebd3a6bec3309cf4e/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华时评丨日本炒作“周边威胁”难掩祸心,2026-06-04,,新华社北京6月4日电 题：日本炒作“周边威胁”难掩祸心 近日，日本媒体披露了日本2026年版《防卫白皮书》概要。不出所料，这份新版白皮书老调重弹，继续大肆渲染所谓“周边安全威胁”。剧本可谓毫无新意，反倒将其借危谋武、扩军备战的危险图谋暴露得更加清楚。明眼人一看便知，在亚太地区，那个不断渲染“威胁”的国家，才是地区和平稳定最大的威胁。 梳理近年来日方关于安全环境的表述，不难发现一条不断升级“危机叙事”的轨迹：几年前，就宣称面临“严峻复杂的安全环境”，此后又将其夸大为“战后最严峻复杂的安全环境”，如今新版白皮书更进一步鼓吹所谓“新的危机时代”。日本政府不断在字眼上加码，刻意营造“兵临城下”的危机感。尤其值得警惕的是，日方动辄拿所谓“中国威胁”做文章，妄图借此煽动焦虑、裹挟民意。其真实目的并非回应所谓的安全忧虑，而是为突破“专守防卫”原则、加速推进“再军事化”寻找借口。 从处心积虑推动修改和平宪法，到大幅调整“安保三文件”、公然写入发展所谓“反击能力”；从连续大幅提升防卫预算，到一再打破战后禁忌，多次修改“防卫装备转移三原则”，逐步放宽杀伤性武器出口限制；再到打着“强化防卫”的幌子重整军工复合体，加速与其他国家和地区军事勾连，甚至放风要放弃“无核三原则”……一系列动向都在揭示一个令人心惊的事实：日本“新型军国主义”已成势为患，对地区乃至世界和平稳定构成现实威胁。 这是3月5日在位于日本东京的市谷纪念馆内拍摄的远东国际军事法庭审判庭。新华社记者 贾浩成 摄 近代以来，日本军国主义曾屡屡以“生存受威胁”“维护安全”为借口，悍然发动侵略战争，给包括中国人民在内的亚洲各国人民带来深重灾难。如今，日本右翼势力不仅没有深刻反省历史罪责，反而妄图重蹈覆辙。正如日本国内有识之士所指出的，日本政府持续以“周边安全环境恶化”为幌子推进防卫政策转向，非但不能带来真正的安全，反而会激化军事紧张、加大战争风险。种种倒行逆施，正将日本推向险境，也让地区笼罩在军备竞赛的阴影之下。 日本一边在国际舞台上自我标榜“和平国家”，一边却在亚太地区拉“小圈子”，挑动对抗、制造紧张，日益成为地区安全的危险变数。事实一再证明，渲染“威胁”者往往是威胁的制造者，高喊“危机”者往往是危机的策源地。 亚太地区渴望和平发展，绝不能沦为地缘博弈的角斗场。日本右翼势力应认清时代大势，正视并深刻反省侵略历史，停止以渲染所谓“周边威胁”为借口推进“再军事化”。倘若执迷不悟，继续沉迷于编造“中国威胁论”的谎言，执意在“新型军国主义”的穷途末路上狂奔，日本不仅无法获得真正的安全，还将为破坏地区和平稳定承担应有的罪责、付出应有的代价。,,,https://www.news.cn/comments/20260604/ff8422b15a854798be23f6d0d78ccd81/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网视评丨自己机不离手，孩子岂能放下手机,2026-06-02,,数字时代，电子产品早已深度融入青少年的学习与生活，如何管好孩子手中的屏幕，成为很多家庭的“育儿痛点”。孩子为何一头扎进电子产品？当家庭陪伴流于敷衍，日常玩乐单调乏味，短视频的瞬时快感、网络游戏的即时奖励，便会轻易填补孩子情感与社交的真空。没收设备、切断网络、严防死守的“堵截式”管教，治标不治本，还容易激化亲子矛盾，陷入“越管越叛逆、越禁越沉迷”的“死胡同”。孩子成长过程中，父母的陪伴很重要，不能因为追求轻松就将电子产品当成“哄娃神器”，也不能一边严令孩子“放下手机”，一边自己机不离手。技术可以是育儿的帮手，但不能是亲情的“替身”。（评论员：杨淑君）,,,https://www.news.cn/comments/20260602/07f12a3e4fd8426ea25c11be5af440cd/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网评：自己机不离手，孩子岂能放下手机,2026-06-02,,新华网北京6月2日电 题：自己机不离手，孩子岂能放下手机 新华网记者杨淑君 数字时代，电子产品早已深度融入青少年的学习与生活，如何管好孩子手中的屏幕，成为很多家庭的“育儿痛点”。 孩子为何一头扎进电子产品？当家庭陪伴流于敷衍，日常玩乐单调乏味，短视频的瞬时快感、网络游戏的即时奖励，便会轻易填补孩子情感与社交的真空。没收设备、切断网络、严防死守的“堵截式”管教，治标不治本，还容易激化亲子矛盾，陷入“越管越叛逆、越禁越沉迷”的“死胡同”。 孩子成长过程中，父母的陪伴很重要，不能因为追求轻松就将电子产品当成“哄娃神器”，也不能一边严令孩子“放下手机”，一边自己机不离手。 技术可以是育儿的帮手，但不能是亲情的“替身”。全身心地陪孩子玩一场亲子游戏，共读一本书，走进大自然感受微风与花香……当父母把陪伴变得趣味满满，孩子就能在真实可触的生活场景中，找到比算法“投喂”更高级的快乐。那份对世界的好奇心与探索欲，也将在现实的土壤里生长。 真正的屏幕管理，需要家长的耐心与智慧，也需要学校和社会为孩子提供更具陪伴感的互动学习体验，创造更多“喜欢做、愿意做、做得开心”的活动与场景。 新华网评：小心“速成”神话给孩子带来伤害,,,https://www.news.cn/comments/20260602/5e68f0db1b27429c8894f56543c2b74a/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网视评丨小心“速成”神话给孩子带来伤害,2026-06-01,,“3天掌握编程基础”“一个月实现自主阅读”……放眼当下儿童教育市场，各类打着“科技启蒙”“高效学习”幌子的数字工具风靡，许多父母不惜花费重金加入这场“速成学习”“超常培训”，期待孩子潜能得到开发。然而，所谓以极短时间培养孩子的特定能力，本质上是一种违背儿童成长规律的神话。不少早教软件，依靠高频切换的画面、强声光刺激吸引幼儿，塑造一种“伪专注”。长期沉浸在碎片化、高刺激的内容投喂中，孩子会慢慢丧失思考能力，主动探索的积极性也会被逐步消磨。（评论员：赵旭 田晨旭）,,,https://www.news.cn/comments/20260601/a1140adcb5ec4d21abf256b93817576d/c.html,2026-06-17 07:53:45
新华网评论-最新评论,新华网评：小心“速成”神话给孩子带来伤害,2026-06-01,,新华网北京6月1日电 题：小心“速成”神话给孩子带来伤害 新华网记者赵旭 田晨旭 “3天掌握编程基础”“一个月实现自主阅读”……放眼当下儿童教育市场，各类打着“科技启蒙”“高效学习”幌子的数字工具风靡，许多父母不惜花费重金加入这场“速成学习”“超常培训”，期待孩子潜能得到开发。 然而，所谓以极短时间培养孩子的特定能力，本质上是一种违背儿童成长规律的神话。 不少早教软件，依靠高频切换的画面、强声光刺激吸引幼儿，塑造一种“伪专注”。长期沉浸在碎片化、高刺激的内容投喂中，孩子会慢慢丧失思考能力，主动探索的积极性也会被逐步消磨。 数字“速成”带来的伤害，还可能体现在孩子的身体健康上。比如，长时间近距离观看数字产品，加上户外活动时间被挤占，会加剧视力发育负担。 “数字速成”神话背后，是部分商家刻意渲染竞争焦虑，用“抢跑”“超前学习”等话术收割家长，其危害远不止于财产损失，更可能让孩子在功利化的训练中，过早消磨掉对学习本身的好奇与热情。 教育无捷径，成长需耐心。成长需要阳光雨露，需要时间等待，万万不可拔苗助长。,,,https://www.news.cn/comments/20260601/4526f31d13284931b24b65b651b9c558/c.html,2026-06-17 07:53:45
