source,title,publish_time,decision_no,punished_entity,violation_text,penalty_text,penalty_amount_raw,agency,url,crawl_time
国家医保局-医保动态,中央第八巡视组巡视国家医疗保障局党组工作动员会召开,2026-04-14,,,国家医保局-医保动态 中央第八巡视组巡视国家医疗保障局党组工作动员会召开,国家医保局-医保动态 中央第八巡视组巡视国家医疗保障局党组工作动员会召开,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/4/14/art_14_20212.html,2026-06-16 22:12:57
国家医保局-医保动态,6月15日起，又一地宝妈喜提新福利！,2026-06-16,,,国家医保局-医保动态 6月15日起，又一地宝妈喜提新福利！,国家医保局-医保动态 6月15日起，又一地宝妈喜提新福利！,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/16/art_14_21014.html,2026-06-16 22:12:57
国家医保局-医保动态,浙江医保和您一起比药价,2026-06-16,,,国家医保局-医保动态 浙江医保和您一起比药价,国家医保局-医保动态 浙江医保和您一起比药价,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/16/art_14_21010.html,2026-06-16 22:12:57
国家医保局-医保动态,上海医保和您一起比药价,2026-06-15,,,国家医保局-医保动态 上海医保和您一起比药价,国家医保局-医保动态 上海医保和您一起比药价,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/15/art_14_21002.html,2026-06-16 22:12:57
国家医保局-医保动态,中共山西省委办公厅 山西省人民政府办公厅关于印发《山西省加快建立长期...,2026-06-15,,,国家医保局-医保动态 中共山西省委办公厅 山西省人民政府办公厅关于印发《山西省加快建立长期...,国家医保局-医保动态 中共山西省委办公厅 山西省人民政府办公厅关于印发《山西省加快建立长期...,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/15/art_14_21000.html,2026-06-16 22:12:57
国家医保局-医保动态,专项行动典型案例第五期：定点零售药店违法违规使用医保基金问题,2026-06-15,,,国家医保局-医保动态 专项行动典型案例第五期：定点零售药店违法违规使用医保基金问题,国家医保局-医保动态 专项行动典型案例第五期：定点零售药店违法违规使用医保基金问题,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/15/art_14_20994.html,2026-06-16 22:12:57
国家医保局-医保动态,有的药盒上印的MA码是什么？有什么用？,2026-06-15,,,国家医保局-医保动态 有的药盒上印的MA码是什么？有什么用？,国家医保局-医保动态 有的药盒上印的MA码是什么？有什么用？,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/15/art_14_20991.html,2026-06-16 22:12:57
国家医保局-医保动态,吉林省人民政府办公厅关于印发《吉林省完善长期护理保险制度实施方案》的...,2026-06-14,,,国家医保局-医保动态 吉林省人民政府办公厅关于印发《吉林省完善长期护理保险制度实施方案》的...,国家医保局-医保动态 吉林省人民政府办公厅关于印发《吉林省完善长期护理保险制度实施方案》的...,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/14/art_14_20986.html,2026-06-16 22:12:57
国家医保局-医保动态,我的诊室挤满了孩子，家长却不愿相信 TA 们病了,2026-06-13,,,国家医保局-医保动态 我的诊室挤满了孩子，家长却不愿相信 TA 们病了,国家医保局-医保动态 我的诊室挤满了孩子，家长却不愿相信 TA 们病了,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/13/art_14_20984.html,2026-06-16 22:12:57
国家医保局-医保动态,数智赋能定点医药机构 杭州创新打造医保服务“钉”模式,2026-06-13,,,国家医保局-医保动态 数智赋能定点医药机构 杭州创新打造医保服务“钉”模式,国家医保局-医保动态 数智赋能定点医药机构 杭州创新打造医保服务“钉”模式,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/13/art_14_20982.html,2026-06-16 22:12:57
国家医保局-医保动态,长期照护师持证人数已超3万，2026年度第二次省际联考等您来报名（一...,2026-06-12,,,国家医保局-医保动态 长期照护师持证人数已超3万，2026年度第二次省际联考等您来报名（一...,国家医保局-医保动态 长期照护师持证人数已超3万，2026年度第二次省际联考等您来报名（一...,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20989.html,2026-06-16 22:12:57
国家医保局-医保动态,新疆生产建设兵团医保和您一起比药价,2026-06-12,,,国家医保局-医保动态 新疆生产建设兵团医保和您一起比药价,国家医保局-医保动态 新疆生产建设兵团医保和您一起比药价,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20980.html,2026-06-16 22:12:57
国家医保局-医保动态,医保支付方式改革有关情况介绍（第5期）,2026-06-12,,,国家医保局-医保动态 医保支付方式改革有关情况介绍（第5期）,国家医保局-医保动态 医保支付方式改革有关情况介绍（第5期）,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20969.html,2026-06-16 22:12:57
国家医保局-医保动态,青海省人民政府办公厅关于印发《青海省建立长期护理保险制度实施方案》的...,2026-06-12,,,国家医保局-医保动态 青海省人民政府办公厅关于印发《青海省建立长期护理保险制度实施方案》的...,国家医保局-医保动态 青海省人民政府办公厅关于印发《青海省建立长期护理保险制度实施方案》的...,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20972.html,2026-06-16 22:12:57
国家医保局-医保动态,“四支付”全面开展 群众就医不再“来回跑”,2026-06-12,,,国家医保局-医保动态 “四支付”全面开展 群众就医不再“来回跑”,国家医保局-医保动态 “四支付”全面开展 群众就医不再“来回跑”,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20958.html,2026-06-16 22:12:57
国家医保局-医保动态,医保便民 “e站”进村,2026-06-11,,,国家医保局-医保动态 医保便民 “e站”进村,国家医保局-医保动态 医保便民 “e站”进村,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/11/art_14_20932.html,2026-06-16 22:12:57
国家医保局-医保动态,集采八年，到底改变了什么？,2026-06-11,,,国家医保局-医保动态 集采八年，到底改变了什么？,国家医保局-医保动态 集采八年，到底改变了什么？,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/11/art_14_20930.html,2026-06-16 22:12:57
国家医保局-医保动态,国家医保局上线“医保领域场景征集”功能,2026-06-11,,,国家医保局-医保动态 国家医保局上线“医保领域场景征集”功能,国家医保局-医保动态 国家医保局上线“医保领域场景征集”功能,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/11/art_14_20918.html,2026-06-16 22:12:57
国家医保局-医保动态,北京市医保局、北京市检察院、北京市公安局联合发布依法惩治医保骗保犯罪...,2026-06-10,,,国家医保局-医保动态 北京市医保局、北京市检察院、北京市公安局联合发布依法惩治医保骗保犯罪...,国家医保局-医保动态 北京市医保局、北京市检察院、北京市公安局联合发布依法惩治医保骗保犯罪...,,国家医疗保障局,https://www.nhsa.gov.cn/art/2026/6/10/art_14_20927.html,2026-06-16 22:12:57
