record_id,source_type,source,title,event_date,content,mentioned_entity,read_count,comment_count,url
COMM_000001,comment,东方财富股吧,分红前的最差走势就是上涨，复投的人失望了,2026-06-08,分红前的最差走势就是上涨，复投的人失望了,平安银行(000001),47,1,"https://guba.eastmoney.com/news,000001,1722254098.html"
COMM_000002,comment,东方财富股吧,把房卖了买平安银行，如果能卖一千万全部买入平安银行股票，每年分红能得六十万股息，,2026-06-08,把房卖了买平安银行，如果能卖一千万全部买入平安银行股票，每年分红能得六十万股息，,平安银行(000001),77,3,"https://guba.eastmoney.com/news,000001,1722436571.html"
COMM_000003,comment,东方财富股吧,最重要的事说三遍，别加杠杆别加杠杆别加杠杆。只要不加杠杆就死不了人！大家都记住了,2026-06-08,最重要的事说三遍，别加杠杆别加杠杆别加杠杆。只要不加杠杆就死不了人！大家都记住了,平安银行(000001),12,0,"https://guba.eastmoney.com/news,000001,1722536688.html"
COMM_000004,comment,东方财富股吧,唉，千错万错选了最弱的,2026-06-08,唉，千错万错选了最弱的,平安银行(000001),30,2,"https://guba.eastmoney.com/news,000001,1722439155.html"
COMM_000005,comment,东方财富股吧,买平安银行最大的好处就是你不用看盘，它无视一切，大盘涨了它跌，大盘跌了它横，谁也,2026-06-08,买平安银行最大的好处就是你不用看盘，它无视一切，大盘涨了它跌，大盘跌了它横，谁也,平安银行(000001),17,0,"https://guba.eastmoney.com/news,000001,1722531918.html"
COMM_000006,comment,东方财富股吧,你只管有钱就买入,2026-06-08,你只管有钱就买入,平安银行(000001),20,0,"https://guba.eastmoney.com/news,000001,1722530957.html"
COMM_000007,comment,东方财富股吧,前怕狼后怕虎那就什么事也干不成了，拼一把，爱咋咋地，大不了一败涂地从头再来。何况,2026-06-08,前怕狼后怕虎那就什么事也干不成了，拼一把，爱咋咋地，大不了一败涂地从头再来。何况,平安银行(000001),17,0,"https://guba.eastmoney.com/news,000001,1722528983.html"
COMM_000008,comment,东方财富股吧,被大盘带下来了,2026-06-08,被大盘带下来了,平安银行(000001),34,3,"https://guba.eastmoney.com/news,000001,1722485923.html"
COMM_000009,comment,东方财富股吧,四大行全高位！股息低过美债！做空能量积累！银行小心！,2026-06-08,四大行全高位！股息低过美债！做空能量积累！银行小心！,平安银行(000001),78,1,"https://guba.eastmoney.com/news,000001,1722367717.html"
COMM_000010,comment,东方财富股吧,今天能不绿，你就是最棒的,2026-06-08,今天能不绿，你就是最棒的,平安银行(000001),12,0,"https://guba.eastmoney.com/news,000001,1722499894.html"
COMM_000011,comment,东方财富股吧,大股东平安保险独家操纵！业绩分红都难预期！谁敢参与？,2026-06-07,大股东平安保险独家操纵！业绩分红都难预期！谁敢参与？,平安银行(000001),272,3,"https://guba.eastmoney.com/news,000001,1721936408.html"
COMM_000012,comment,东方财富股吧,下来,2026-06-08,下来,平安银行(000001),13,0,"https://guba.eastmoney.com/news,000001,1722491835.html"
COMM_000013,comment,东方财富股吧,给你机会涨，你咋还跌！,2026-06-08,给你机会涨，你咋还跌！,平安银行(000001),12,0,"https://guba.eastmoney.com/news,000001,1722482557.html"
COMM_000014,comment,东方财富股吧,本周7家银行“红包”将到账！超331亿 哪家最大方？,2026-06-08,本周7家银行“红包”将到账！超331亿 哪家最大方？,平安银行(000001),1880,2,"https://guba.eastmoney.com/news,601229,1722426158.html"
COMM_000015,comment,东方财富股吧,全市性价比最高的银行,2026-06-08,全市性价比最高的银行,平安银行(000001),27,1,"https://guba.eastmoney.com/news,000001,1722453844.html"
COMM_000016,comment,东方财富股吧,"走，留，还是减仓!如何操作,高手来,!",2026-06-08,"走，留，还是减仓!如何操作,高手来,!",平安银行(000001),79,5,"https://guba.eastmoney.com/news,000001,1722367381.html"
COMM_000017,comment,东方财富股吧,"每年盈利2块多,现价仅剩11元,已低至极限还有人不识金",2026-06-08,"每年盈利2块多,现价仅剩11元,已低至极限还有人不识金",平安银行(000001),24,0,"https://guba.eastmoney.com/news,000001,1722457597.html"
COMM_000018,comment,东方财富股吧,平安银行是跌不下去了吧,2026-06-08,平安银行是跌不下去了吧,平安银行(000001),14,0,"https://guba.eastmoney.com/news,000001,1722443521.html"
COMM_000019,comment,东方财富股吧,Z，我一卖出，你就开涨，我一买入，你就跌跌不休，什么东西嘛,2026-06-08,Z，我一卖出，你就开涨，我一买入，你就跌跌不休，什么东西嘛,平安银行(000001),23,0,"https://guba.eastmoney.com/news,000001,1722389172.html"
COMM_000020,comment,东方财富股吧,银行股除权后要开始填权了,2026-06-08,银行股除权后要开始填权了,平安银行(000001),30,1,"https://guba.eastmoney.com/news,000001,1722410124.html"
COMM_000021,comment,东方财富股吧,每股收益两块钱，股价11块，5年就翻倍，每年还得股息，不香吗？,2026-06-08,每股收益两块钱，股价11块，5年就翻倍，每年还得股息，不香吗？,平安银行(000001),107,3,"https://guba.eastmoney.com/news,000001,1722302252.html"
COMM_000022,comment,东方财富股吧,问下20年股龄的朋友，有多少是在回本的路上？如果这20年，买的是分红率5个点以上,2026-06-08,问下20年股龄的朋友，有多少是在回本的路上？如果这20年，买的是分红率5个点以上,平安银行(000001),197,3,"https://guba.eastmoney.com/news,000001,1722272231.html"
COMM_000023,comment,东方财富股吧,人在阵地在,2026-06-08,人在阵地在,平安银行(000001),23,0,"https://guba.eastmoney.com/news,000001,1722379095.html"
COMM_000024,comment,东方财富股吧,叙事控盘汪队空到底！剔除A50退出资金诱多！10.8下才买！,2026-06-05,叙事控盘汪队空到底！剔除A50退出资金诱多！10.8下才买！,平安银行(000001),558,5,"https://guba.eastmoney.com/news,000001,1721027924.html"
