source,title,publish_time,decision_no,punished_entity,violation_text,penalty_text,penalty_amount_raw,agency,url,crawl_time
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国工商银行股份有限公司,2026-06-05 18:00:24,[2026]号,中国工商银行股份有限公司,重要信息系统投产变更风险管控不到位、未按规定报告重要信息系统突发事件等。,对中国工商银行股份有限公司罚款105万元。,罚款105万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1260352&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国建设银行股份有限公司,2026-06-05 18:00:24,[2026]号,中国建设银行股份有限公司,重要信息系统投产变更风险管控不到位、重要信息系统应急管理不足等。,对中国建设银行股份有限公司罚款70万元。,罚款70万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1260352&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 交通银行股份有限公司,2026-06-05 18:00:24,[2026]号,交通银行股份有限公司,灾备恢复能力建设不足、重要信息系统应急管理不足等。,对交通银行股份有限公司罚款80万元。,罚款80万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1260352&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中信银行股份有限公司及相关责任人员,2026-06-05 18:00:24,[2026]号,中信银行股份有限公司及相关责任人员,相关贷款、信用卡等业务管理不审慎。,对中信银行股份有限公司罚款1140万元。 对刘晓凯警告并罚款5万元，对白 艳超 、何健、张洁、刘双 艺 警告。,罚款1140万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1260352&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 太平财产保险有限公司及相关责任人员,2026-06-05 18:00:24,[2026]号,太平财产保险有限公司及相关责任人员,未按规定提取未决赔款准备金，未按照规定使用经批准或备案的保险条款、费率，报送数据不准确，跨区域开展业务等。,对太平财产保险有限公司警告并罚款373万元。 对任杰、许龙、黄永军、陆涛、张玮、陈永兵、赵磊警告并罚款共计62万元。,罚款373万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1260352&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国银河资产管理有限责任公司 及相关责任 人员,2026-04-24 17:22:58,[2026]号,中国银河资产管理有限责任公司 及相关责任 人员,投后管理不到位。,对 中国银河资产管理有限责任公司 罚款30万元。 对 张旭给予警告 。,罚款30万元,金融监管 总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1255842&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国太平保险集团有限责任公司 及相关责任人员,2026-04-24 17:22:58,[2026]号,中国太平保险集团有限责任公司 及相关责任人员,向监管报送的报告报表数据不准确。,对 中国太平保险集团有限责任公司 罚款 40 万元。 对 张作学 警告并罚款 7 万元。,罚款 40 万元,金融监管 总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1255842&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 幸福人寿保险股份有限公司 及相关责任 人员,2026-04-24 17:22:58,[2026]号,幸福人寿保险股份有限公司 及相关责任 人员,向监管报送的信息不准确、保险资金运用不规范、财务业务数据不真实等。,对 幸福人寿保险股份有限公司警告并 罚款231万元。 对范林、郭俊、孙博、陈肇晖、刘沫含、王伟、王松、谢明、张希颖警告并罚款共计87万元。,罚款231万元,金融监管 总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1255842&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 华安财产保险股份有限公司及相关责任人员,2026-02-27 17:34:38,[2026]号,华安财产保险股份有限公司及相关责任人员,未按照规定使用经批准或备案的保险条款、费率，报送数据不准确，跨区域开展业务等。,对华安财产保险股份有限公司 警告并 罚款386万元，对山东分公司罚款60万元，对福建分公司罚款35万元。 对 袁秀奇、吴向华、 朱军威、 廖飞舟、陈巍巍、王 巧、 王璐 娟、 余华、赵忠恩、 凤奕、 张玉华、鲁志豪、徐沛警告并罚款共计 84万元。,罚款386万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1250417&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 阳光保险集团股份有限公司及相关责任人员,2026-02-27 17:34:38,[2026]号,阳光保险集团股份有限公司及相关责任人员,关联交易 管理不到位， 偿付能力报告数据不准确 等。,对 阳光保险集团股份有限公司 罚款140万元。 对 张艳秋 、 张秀美 警告并罚款共计18万元。,罚款140万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1250417&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 永诚保险资产管理有限公司及相关责任人员,2026-02-27 17:34:38,[2026]号,永诚保险资产管理有限公司及相关责任人员,资产管理业务开展不规范，关联交易管理不规范，财务数据不准确等。,对永诚保险资产管理有限公司罚款120万元。 对王凡、张岩姝、王群警告并罚款共计18万元。,罚款120万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1250417&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 上海浦东发展银行股份有限公司及相关责任人员,2025-12-19 18:01:01,[2025]号,上海浦东发展银行股份有限公司及相关责任人员,相关理财、代销等业务管理不审慎，员工管理不到位等,对上海浦东发展银行股份有限公司罚款1560万元。 对高红、何刚、陈 从 治、孔令 孜 、任威、黄 乃嘉 警告并罚款共计30万元。 对 穆矢 禁止15年从事银行业工作，对杨再斌禁止13年从事银行业工作，对鲁志勇禁止12年从事银行业工作，对代行禁止9年从事银行业工作，对裴英浩禁止7年从事银行业工作，对李沛禁止6年从事银行业工作，对张玉东禁止5年从事银行业工作。,罚款1560万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1238354&itemId=4113&generaltype=9,2026-06-08 14:33:43
NFRA,国家金融监督管理总局行政处罚信息公示列表 - 安心财产保险有限责任公司 及相关责任人员,2025-12-19 18:01:01,[2025]号,安心财产保险有限责任公司 及相关责任人员,未按照规定使用经批准或备案的保险条款、费率，保险理赔案件报送数据不真实等,对安心财产保险有限责任公司责令停止接受信用保证保险新业务36个月、停止接受短期健康保险新业务24个月、停止接受车辆保险新业务6个月。 对陈静、李浩 帆 、张怡 锴 、王莹、陈国正、王宏、张为、韩刚、王海东、杜 毓淇 、蒋安全、邢平、刘永鹏、吴华 男 警告并罚款共计77万元。 对钟诚禁 止 11 年 进入保险业，对王晖禁止 10 年 进入保险业，对李浩 帆 禁止8年进入保险业，对黄胜禁止6年进入保险业，对陈静禁止6年进入保险业。,罚款共计77万元,金融监管总局,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1238354&itemId=4113&generaltype=9,2026-06-08 14:33:43
